date,n1,n2,n3,n4,n5,n6
2026-02-01,8,10,15,25,21,2
2026-02-03,39,15,2,12,7,18
2026-02-05,12,42,17,49,16,36
2026-02-08,14,39,4,34,11,9
2026-02-10,28,3,27,34,30,20
2026-02-12,2,37,24,21,36,40
2026-02-15,27,48,40,3,25,15
2026-02-17,17,45,15,49,26,40
2026-02-19,9,31,40,34,42,43
2026-02-22,14,17,5,2,43,16
2026-02-24,20,6,42,13,47,28
2026-02-26,22,44,13,30,26,46
2026-03-01,19,23,6,17,12,37
2026-03-03,2,44,13,29,8,41
2026-03-05,23,37,48,44,39,25
2026-03-08,32,14,13,7,15,26
2026-03-10,42,46,32,19,44,16
2026-03-12,38,34,3,1,10,41
2026-03-15,23,9,25,32,22,24
2026-03-17,33,9,22,37,44,25
2026-03-19,21,20,32,4,43,13
2026-03-22,31,16,45,10,47,32
2026-03-24,31,16,32,19,45,26
2026-03-26,46,4,19,25,33,2
2026-03-29,15,9,33,18,22,6
2026-03-31,22,42,18,28,8,17
2026-04-05,39,30,18,29,44,42
2026-04-07,25,4,46,44,28,36
2026-04-09,10,27,28,2,14,6
2026-04-12,49,29,7,26,43,48
2026-04-14,23,47,11,35,38,20
2026-04-16,27,35,24,31,9,34
2026-04-19,16,43,21,35,14,37
2026-04-21,45,10,36,43,13,19
2026-04-23,11,35,40,1,18,8
2026-04-26,44,48,9,33,1,34
2026-04-28,27,9,34,5,16,42
2026-04-30,40,41,24,23,46,42
2026-05-03,37,35,44,47,43,14
2026-05-05,44,3,8,31,6,49
2026-05-07,47,11,24,33,48,2
2026-05-10,3,16,11,4,14,38
2026-05-12,24,15,6,44,40,23
2026-05-14,4,25,24,12,19,43
2026-05-17,27,14,46,18,11,17
2026-05-19,49,35,44,4,14,5
2026-05-21,9,28,21,2,37,23
2026-05-24,33,24,12,13,4,9
2026-05-26,10,49,30,21,48,45
2026-05-28,39,40,1,47,29,17
2026-05-31,18,21,7,43,11,3
2026-06-02,36,27,5,14,40,8
2026-06-04,27,3,2,11,16,25
2026-06-07,41,31,44,25,42,33
2026-06-09,43,22,15,4,3,17
2026-06-11,40,13,14,24,8,21
2026-06-14,16,7,47,8,4,6
2026-06-16,28,20,36,33,2,17
2026-06-18,27,26,21,6,20,16
2026-06-21,44,13,27,33,24,42
2026-06-23,44,8,32,42,12,27
2026-06-25,49,19,15,46,25,36
2026-06-28,32,1,35,23,14,29
2026-06-30,26,47,5,44,10,22
2026-07-02,23,22,38,5,48,44
2026-07-05,14,15,33,40,2,34
2026-07-07,26,18,42,19,11,3
2026-07-09,44,23,21,16,36,10
2026-07-12,17,47,49,46,35,32
2026-07-14,18,11,37,22,36,17
2026-07-16,5,34,18,26,23,9
2026-07-19,2,41,15,28,37,25
2026-07-21,48,15,37,44,8,42
2026-07-23,39,38,1,36,11,26
2026-07-26,4,10,19,14,13,5
2026-07-28,5,13,15,37,21,40
2026-07-30,36,25,44,2,47,1
2026-08-02,37,16,1,23,35,7
2026-01-01,23,30,19,18,41,21
2026-01-04,35,19,13,39,23,24
2026-01-06,48,33,27,18,5,36
2026-01-08,9,11,30,12,24,26
2026-01-11,32,26,12,22,30,36
2026-01-13,15,28,26,6,27,25
2026-01-15,14,24,10,5,15,11
2026-01-18,35,32,20,37,5,19
2026-01-20,5,15,23,2,3,4
2026-01-22,10,26,24,36,1,48
2026-01-25,42,44,23,3,31,26
2026-01-27,41,23,26,33,10,20
2026-01-29,10,34,7,15,5,31
2026-08-04,11,20,12,36,44,26
2026-08-06,30,49,5,13,36,39
2026-08-09,18,24,32,47,8,40
