date,n1,n2,n3,n4,n5,n6
2026-01-31,54,37,20,15,21,10
2026-02-02,44,30,17,1,19,50
2026-02-04,45,49,33,43,38,54
2026-02-07,55,2,43,10,14,13
2026-02-09,44,39,47,31,26,2
2026-02-11,3,14,25,13,23,22
2026-02-14,42,41,48,24,22,44
2026-02-16,35,16,54,21,4,6
2026-02-18,14,28,37,41,10,51
2026-02-21,9,23,3,49,50,1
2026-02-23,20,23,5,35,33,45
2026-02-25,23,17,52,4,34,27
2026-02-28,14,51,28,6,27,8
2026-03-02,5,7,18,33,38,27
2026-03-04,33,13,44,50,47,42
2026-03-07,17,44,2,5,28,45
2026-03-09,38,32,8,20,19,9
2026-03-11,50,24,34,21,45,3
2026-03-14,24,33,48,42,5,22
2026-03-16,42,27,16,54,50,20
2026-03-18,5,6,15,53,17,55
2026-03-21,2,18,47,12,32,11
2026-03-23,43,33,10,26,42,14
2026-03-25,29,25,44,39,13,5
2026-03-28,1,18,51,19,21,5
2026-03-30,27,34,31,54,23,3
2026-04-01,32,42,17,55,50,19
2026-04-06,54,28,47,36,35,29
2026-04-08,23,24,9,40,13,17
2026-04-11,52,10,50,53,26,28
2026-04-13,51,54,39,50,24,40
2026-04-15,32,43,20,46,9,15
2026-04-18,4,25,9,54,15,31
2026-04-20,33,36,17,40,22,45
2026-04-22,30,43,51,44,46,32
2026-04-25,41,43,35,15,10,40
2026-04-27,43,19,20,12,21,51
2026-04-29,42,2,54,35,41,49
2026-05-02,48,33,17,2,37,10
2026-05-04,33,13,47,46,17,25
2026-05-06,5,40,27,24,55,22
2026-05-09,42,48,19,43,5,2
2026-05-11,40,52,32,46,20,7
2026-05-13,39,29,45,2,38,43
2026-05-16,9,6,19,46,39,48
2026-05-18,47,44,26,29,38,51
2026-05-20,41,8,45,27,9,10
2026-05-23,52,36,38,12,48,42
2026-05-25,48,42,23,18,55,33
2026-05-27,33,46,43,19,38,42
2026-05-30,19,37,21,39,9,22
2026-06-01,36,4,9,44,42,24
2026-06-03,19,42,53,2,46,3
2026-06-06,32,36,29,19,8,30
2026-06-08,50,43,24,1,7,15
2026-06-10,53,19,8,34,38,52
2026-06-13,16,43,21,22,26,50
2026-06-15,8,44,43,24,4,11
2026-06-17,55,31,46,37,48,1
2026-06-20,24,10,55,36,4,41
2026-06-22,37,32,23,35,53,18
2026-06-24,22,51,17,23,54,29
2026-06-27,38,27,33,32,49,31
2026-06-29,1,17,50,25,26,12
2026-07-01,26,42,6,46,44,32
2026-07-04,14,15,23,13,45,9
2026-07-06,49,4,25,55,18,42
2026-07-08,20,32,48,52,46,54
2026-07-11,38,47,42,44,31,39
2026-07-13,51,15,26,37,6,55
2026-07-15,20,3,48,9,33,13
2026-07-18,6,2,21,25,44,48
2026-07-20,29,20,23,3,14,40
2026-07-22,15,24,36,10,48,55
2026-07-25,50,5,12,26,2,20
2026-07-27,6,53,42,49,55,46
2026-07-29,9,4,33,23,46,14
2026-08-01,48,28,49,44,54,38
2026-01-03,13,42,6,45,24,33
2026-01-05,20,15,33,50,3,45
2026-01-07,34,41,44,37,38,19
2026-01-10,32,13,31,8,14,44
2026-01-12,47,43,36,9,7,11
2026-01-14,2,48,43,41,42,11
2026-01-17,40,7,49,19,34,23
2026-01-19,28,9,41,22,48,7
2026-01-21,34,28,48,25,55,3
2026-01-24,24,19,16,33,36,6
2026-01-26,19,1,37,7,41,51
2026-01-28,13,53,36,11,39,15
2026-08-03,53,2,17,44,34,5
