date,n1,n2,n3,n4,n5,n6
2026-02-02,25,6,21,1,28,10
2026-02-04,3,12,31,43,22,11
2026-02-06,38,35,2,44,22,39
2026-02-09,4,14,30,20,18,13
2026-02-11,17,15,32,45,40,12
2026-02-13,45,8,43,3,6,32
2026-02-16,21,17,10,6,3,34
2026-02-18,35,5,45,4,38,23
2026-02-20,2,31,14,20,28,17
2026-02-23,39,40,30,4,17,22
2026-02-25,40,3,25,15,22,2
2026-02-27,39,30,26,29,43,15
2026-03-02,12,25,45,40,33,27
2026-03-04,8,28,18,6,35,42
2026-03-06,33,37,2,27,4,31
2026-03-09,23,24,3,38,4,21
2026-03-11,19,36,10,23,31,20
2026-03-13,32,5,14,42,41,37
2026-03-16,45,34,6,14,24,8
2026-03-18,10,34,1,12,45,41
2026-03-20,31,28,19,25,4,3
2026-03-23,24,43,28,8,4,27
2026-03-25,17,24,15,29,10,5
2026-03-27,19,38,36,31,27,2
2026-03-30,3,27,24,7,43,13
2026-04-01,20,11,17,16,3,37
2026-04-06,13,33,37,10,44,19
2026-04-08,22,25,37,15,5,28
2026-04-10,16,19,9,7,5,44
2026-04-13,39,19,26,17,2,44
2026-04-15,27,21,26,37,39,43
2026-04-17,41,12,32,8,30,24
2026-04-20,34,12,29,8,27,17
2026-04-22,10,37,11,43,18,15
2026-04-24,41,15,38,11,33,43
2026-04-27,6,4,5,27,34,11
2026-04-29,27,35,23,22,43,33
2026-05-01,19,8,23,41,4,11
2026-05-04,34,28,21,41,8,5
2026-05-06,1,3,24,18,11,10
2026-05-08,4,32,23,12,22,9
2026-05-11,19,21,39,41,38,44
2026-05-13,31,33,45,29,16,23
2026-05-15,12,27,42,33,15,1
2026-05-18,39,24,7,4,37,23
2026-05-20,16,45,11,32,23,37
2026-05-22,27,9,42,37,34,3
2026-05-25,21,13,43,28,5,17
2026-05-27,23,8,9,36,43,18
2026-05-29,27,45,38,35,25,10
2026-06-01,28,38,41,35,40,5
2026-06-03,23,45,6,18,4,2
2026-06-05,1,38,18,42,4,44
2026-06-08,20,27,43,15,4,14
2026-06-10,14,45,44,42,28,20
2026-06-12,44,13,22,14,4,33
2026-06-15,44,14,10,21,35,18
2026-06-17,34,35,9,10,19,32
2026-06-19,27,15,9,13,12,8
2026-06-22,28,3,24,31,18,16
2026-06-24,41,29,27,21,33,19
2026-06-26,9,41,22,45,5,10
2026-06-29,33,13,6,21,18,44
2026-07-01,4,2,36,19,24,17
2026-07-03,43,2,13,5,36,1
2026-07-06,3,36,6,32,16,45
2026-07-08,13,5,30,25,22,11
2026-07-10,43,31,1,44,25,40
2026-07-13,43,32,26,22,16,33
2026-07-15,4,24,45,9,44,21
2026-07-17,17,42,10,15,6,14
2026-07-20,11,38,8,5,19,42
2026-07-22,8,14,39,29,1,13
2026-07-24,14,20,19,31,2,11
2026-07-27,14,42,34,26,5,37
2026-07-29,22,39,43,7,13,8
2026-07-31,5,8,29,12,38,31
2026-01-02,44,21,19,10,18,11
2026-01-05,9,2,3,27,21,45
2026-01-07,6,3,7,24,21,9
2026-01-09,43,35,18,16,25,13
2026-01-12,9,5,11,21,6,2
2026-01-14,43,5,10,3,16,4
2026-01-16,42,31,6,10,40,37
2026-01-19,3,15,41,10,43,17
2026-01-21,28,12,2,15,23,13
2026-01-23,16,1,31,27,4,43
2026-01-26,25,22,24,42,4,33
2026-01-28,27,35,9,8,4,3
2026-01-30,4,3,8,42,40,33
2026-08-03,27,29,34,8,32,36
2026-08-05,2,11,29,31,28,6
